,CD_TIP_PRC,,NM_TIP_PRC,,,,
"(3302,'BNDES CAP DE GIRO REVITALIZA-ATACADO(CSO CURITIBA)'),",3302,'BNDES CAP DE GIRO REVITALIZA-ATACADO(CSO CURITIBA)',BNDES CAP DE GIRO REVITALIZA-ATACADO(CSO CURITIBA),,,,
"(3303,'BNDES CREGE INVESTIMENTO - ATACADO(CSO CURITIBA)'),",3303,'BNDES CREGE INVESTIMENTO - ATACADO(CSO CURITIBA)',BNDES CREGE INVESTIMENTO - ATACADO(CSO CURITIBA),,,,
"(3304,'BNDES EXIM - ATACADO (CSO CURITIBA)'),",3304,'BNDES EXIM - ATACADO (CSO CURITIBA)',BNDES EXIM - ATACADO (CSO CURITIBA),,,,
"(3305,'BNDES REVITALIZA - INVEST - ATACADO(CSO CURITIBA)'),",3305,'BNDES REVITALIZA - INVEST - ATACADO(CSO CURITIBA)',BNDES REVITALIZA - INVEST - ATACADO(CSO CURITIBA),,,,
"(3306,'FINAME EMPRESARIAL - ATACADO (CSO CURITIBA)'),",3306,'FINAME EMPRESARIAL - ATACADO (CSO CURITIBA)',FINAME EMPRESARIAL - ATACADO (CSO CURITIBA),,,,
"(3307,'FINAME EMPRESARIAL PSI - ATACADO (CSO CURITIBA)'),",3307,'FINAME EMPRESARIAL PSI - ATACADO (CSO CURITIBA)',FINAME EMPRESARIAL PSI - ATACADO (CSO CURITIBA),,,,
"(3308,'FINAME LEASING - ATACADO (CSO CURITIBA)'),",3308,'FINAME LEASING - ATACADO (CSO CURITIBA)',FINAME LEASING - ATACADO (CSO CURITIBA),,,,
"(3309,'REFINANCIAMENTO EMPRES BNDES-ATACADO(CSO CURITIBA)'),",3309,'REFINANCIAMENTO EMPRES BNDES-ATACADO(CSO CURITIBA)',REFINANCIAMENTO EMPRES BNDES-ATACADO(CSO CURITIBA),,,,
"(3347,'BNDES ABC'),",3347,'BNDES ABC',BNDES ABC,,,,
"(3408,'FINAME PROUCA'),",3408,'FINAME PROUCA',FINAME PROUCA,,,,
"(3436,'BNDES PRORENOVA'),",3436,'BNDES PRORENOVA',BNDES PRORENOVA,,,,
"(3532,'FINAME MODERFROTA'),",3532,'FINAME MODERFROTA',FINAME MODERFROTA,,,,
"(6572,'FINAME EMPRESARIAL PSI SIMPLIFICADA'),",6572,'FINAME EMPRESARIAL PSI SIMPLIFICADA',FINAME EMPRESARIAL PSI SIMPLIFICADA,,,,
"(6579,'FINAME RURAL PSI SIMPLIFICADA'),",6579,'FINAME RURAL PSI SIMPLIFICADA',FINAME RURAL PSI SIMPLIFICADA,,,,
"(6586,'FINAME RURAL PSI CONVENCIONAL'),",6586,'FINAME RURAL PSI CONVENCIONAL',FINAME RURAL PSI CONVENCIONAL,,,,
"(6593,'FINAME EMPRESARIAL PSI CONVENCIONAL'),",6593,'FINAME EMPRESARIAL PSI CONVENCIONAL',FINAME EMPRESARIAL PSI CONVENCIONAL,,,,
"(7300,'FINAME PROIRRIGA (MODERINFRA)'),",7300,'FINAME PROIRRIGA (MODERINFRA)',FINAME PROIRRIGA (MODERINFRA),,,,
"(7996,'BNDES PMAT FINEM'),",7996,'BNDES PMAT FINEM',BNDES PMAT FINEM,,,,
"(7997,'BNDES PMAT AUTOM�TICO - INVESTIMENTO'),",7997,'BNDES PMAT AUTOM�TICO - INVESTIMENTO',BNDES PMAT AUTOM�TICO - INVESTIMENTO,,,,
"(7998,'BNDES PMAT AUTOM�TICO - M�QUINAS E EQUIPAMENTOS'),",7998,'BNDES PMAT AUTOM�TICO - M�QUINAS E EQUIPAMENTOS',BNDES PMAT AUTOM�TICO - M�QUINAS E EQUIPAMENTOS,,,,
"(7999,'BNDES AUTOM�TICO E DEMAIS PROGRAMAS'),",7999,'BNDES AUTOM�TICO E DEMAIS PROGRAMAS',BNDES AUTOM�TICO E DEMAIS PROGRAMAS,,,,
"(8007,'BNDES PRONAMP INVESTIMENTO AGR�COLA'),",8007,'BNDES PRONAMP INVESTIMENTO AGR�COLA',BNDES PRONAMP INVESTIMENTO AGR�COLA,,,,
"(8008,'BNDES PRONAMP INVESTIMENTO PECU�RIO'),",8008,'BNDES PRONAMP INVESTIMENTO PECU�RIO',BNDES PRONAMP INVESTIMENTO PECU�RIO,,,,
"(8081,'BNDES PROMOB'),",8081,'BNDES PROMOB',BNDES PROMOB,,,,
"(8087,'BNDES GOVERNOS'),",8087,'BNDES GOVERNOS',BNDES GOVERNOS,,,,
"(8088,'BNDES CONTRAPARTIDA - ESTADOS'),",8088,'BNDES CONTRAPARTIDA - ESTADOS',BNDES CONTRAPARTIDA - ESTADOS,,,,
"(8089,'BNDES CONTRAPARTIDA - MUNIC�PIOS'),",8089,'BNDES CONTRAPARTIDA - MUNIC�PIOS',BNDES CONTRAPARTIDA - MUNIC�PIOS,,,,
"(8090,'BNDES FINEM - ESTADOS'),",8090,'BNDES FINEM - ESTADOS',BNDES FINEM - ESTADOS,,,,
"(8091,'BNDES FINEM - MUNIC�PIOS'),",8091,'BNDES FINEM - MUNIC�PIOS',BNDES FINEM - MUNIC�PIOS,,,,
"(8330,'BNDES FINAME'),",8330,'BNDES FINAME',BNDES FINAME,,,,
"(8338,'FINAME 600 SIMPLIFICADA'),",8338,'FINAME 600 SIMPLIFICADA',FINAME 600 SIMPLIFICADA,,,,
"(8458,'BNDES PCA'),",8458,'BNDES PCA',BNDES PCA,,,,
"(8459,'BNDES INOVAGRO'),",8459,'BNDES INOVAGRO',BNDES INOVAGRO,,,,
"(8947,'FINAME AGROPECU�RIO'),",8947,'FINAME AGROPECU�RIO',FINAME AGROPECU�RIO,,,,
"(9046,'FINAME PRONAMP AGR�COLA CONVENCIONAL'),",9046,'FINAME PRONAMP AGR�COLA CONVENCIONAL',FINAME PRONAMP AGR�COLA CONVENCIONAL,,,,
"(9055,'FINAME PRONAMP PECU�RIO CONVENCIONAL'),",9055,'FINAME PRONAMP PECU�RIO CONVENCIONAL',FINAME PRONAMP PECU�RIO CONVENCIONAL,,,,
"(9102,'RENEGOCIA��O CART�O BNDES'),",9102,'RENEGOCIA��O CART�O BNDES',RENEGOCIA��O CART�O BNDES,,,,
"(9142,'FINAME PCA'),",9142,'FINAME PCA',FINAME PCA,,,,
"(9230,'BNDES MODERAGRO DESENVOLVIMENTO'),",9230,'BNDES MODERAGRO DESENVOLVIMENTO',BNDES MODERAGRO DESENVOLVIMENTO,,,,
"(9587,'REESCALONAMENTO CART�O BNDES'),",9587,'REESCALONAMENTO CART�O BNDES',REESCALONAMENTO CART�O BNDES,,,,
"(10120,'BNDES GIRO'),",10120,'BNDES GIRO',BNDES GIRO,,,,
"(11139,'FINAME PRODECOOP'),",11139,'FINAME PRODECOOP',FINAME PRODECOOP,,,,
"(13325,'BNDES PRONAMP INVESTIMENTO AGROPECU�RIO'),",13325,'BNDES PRONAMP INVESTIMENTO AGROPECU�RIO',BNDES PRONAMP INVESTIMENTO AGROPECU�RIO,,,,
"(13326,'FINAME PRONAMP AGROPECU�RIO CONVENCIONAL'),",13326,'FINAME PRONAMP AGROPECU�RIO CONVENCIONAL',FINAME PRONAMP AGROPECU�RIO CONVENCIONAL,,,,
"(2297,'ADITIVO PAC'),",2297,'ADITIVO PAC',ADITIVO PAC,,,,
"(2301,'ADITIVO FRO'),",2301,'ADITIVO FRO',ADITIVO FRO,,,,
"(3512,'PAC/FRO'),",3512,'PAC/FRO',PAC/FRO,,,,
"(3513,'SALDO REMANESCENTE'),",3513,'SALDO REMANESCENTE',SALDO REMANESCENTE,,,,
"(1690,'FINAME COM RECURSOS DE TERCEIROS'),",1690,'FINAME COM RECURSOS DE TERCEIROS',FINAME COM RECURSOS DE TERCEIROS,,,,
"(1691,'FINAME MODERFROTA'),",1691,'FINAME MODERFROTA',FINAME MODERFROTA,,,,
"(1692,'FINAME MODERFROTA REVENDA'),",1692,'FINAME MODERFROTA REVENDA',FINAME MODERFROTA REVENDA,,,,
"(1693,'FINAME MODERINFRA'),",1693,'FINAME MODERINFRA',FINAME MODERINFRA,,,,
"(1694,'FINAME PROCAMINHONEIRO'),",1694,'FINAME PROCAMINHONEIRO',FINAME PROCAMINHONEIRO,,,,
"(1695,'FINAME PRODEAGRO'),",1695,'FINAME PRODEAGRO',FINAME PRODEAGRO,,,,
"(1696,'FINAME PROESCOLAR'),",1696,'FINAME PROESCOLAR',FINAME PROESCOLAR,,,,
"(1697,'FINAME PROVIAS'),",1697,'FINAME PROVIAS',FINAME PROVIAS,,,,
"(1698,'FINAME RURAL PSI'),",1698,'FINAME RURAL PSI',FINAME RURAL PSI,,,,
"(1699,'REFINANCIAMENTO RURAL BNDES/FINAME'),",1699,'REFINANCIAMENTO RURAL BNDES/FINAME',REFINANCIAMENTO RURAL BNDES/FINAME,,,,
"(1700,'FINAME CAMINHOS DA ESCOLA'),",1700,'FINAME CAMINHOS DA ESCOLA',FINAME CAMINHOS DA ESCOLA,,,,
"(1701,'FINAME EMPRESARIAL'),",1701,'FINAME EMPRESARIAL',FINAME EMPRESARIAL,,,,
"(1702,'BNDES AUTOM�TICO AGROPECU�RIO'),",1702,'BNDES AUTOM�TICO AGROPECU�RIO',BNDES AUTOM�TICO AGROPECU�RIO,,,,
"(1703,'BNDES CAPITAL DE GIRO PEC'),",1703,'BNDES CAPITAL DE GIRO PEC',BNDES CAPITAL DE GIRO PEC,,,,
"(1704,'BNDES CAPITAL DE GIRO PROGEREN'),",1704,'BNDES CAPITAL DE GIRO PROGEREN',BNDES CAPITAL DE GIRO PROGEREN,,,,
"(1705,'BNDES EXIM'),",1705,'BNDES EXIM',BNDES EXIM,,,,
"(1706,'BNDES CREGE INVESTIMENTO'),",1706,'BNDES CREGE INVESTIMENTO',BNDES CREGE INVESTIMENTO,,,,
"(1707,'BNDES MODERAGRO'),",1707,'BNDES MODERAGRO',BNDES MODERAGRO,,,,
"(1708,'BNDES MODERINFRA'),",1708,'BNDES MODERINFRA',BNDES MODERINFRA,,,,
"(1709,'BNDES PMAT'),",1709,'BNDES PMAT',BNDES PMAT,,,,
"(1710,'BNDES PROCER'),",1710,'BNDES PROCER',BNDES PROCER,,,,
"(1711,'BNDES PRODECOOP'),",1711,'BNDES PRODECOOP',BNDES PRODECOOP,,,,
"(1712,'BNDES PRODUSA'),",1712,'BNDES PRODUSA',BNDES PRODUSA,,,,
"(1713,'BNDES PROG.MANUT.RECUP.EQUIP.AGR�COLA'),",1713,'BNDES PROG.MANUT.RECUP.EQUIP.AGR�COLA',BNDES PROG.MANUT.RECUP.EQUIP.AGR�COLA,,,,
"(1714,'BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS'),",1714,'BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS',BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS,,,,
"(1715,'BNDES PROMOB'),",1715,'BNDES PROMOB',BNDES PROMOB,,,,
"(1716,'BNDES PRONAF'),",1716,'BNDES PRONAF',BNDES PRONAF,,,,
"(1717,'BNDES PROPFLORA'),",1717,'BNDES PROPFLORA',BNDES PROPFLORA,,,,
"(1718,'FINAME LEASING'),",1718,'FINAME LEASING',FINAME LEASING,,,,
"(1728,'FINAME CREGE'),",1728,'FINAME CREGE',FINAME CREGE,,,,
"(3310,'FINAME EMPRESARIAL - ATACADO (CSO CURITIBA)'),",3310,'FINAME EMPRESARIAL - ATACADO (CSO CURITIBA)',FINAME EMPRESARIAL - ATACADO (CSO CURITIBA),,,,
"(3311,'BNDES CAPITAL DE GIRO PEC - ATACADO (CSO CURITIBA)'),",3311,'BNDES CAPITAL DE GIRO PEC - ATACADO (CSO CURITIBA)',BNDES CAPITAL DE GIRO PEC - ATACADO (CSO CURITIBA),,,,
"(3312,'BNDES CREGE INVESTIMENTO - ATACADO (CSO CURITIBA)'),",3312,'BNDES CREGE INVESTIMENTO - ATACADO (CSO CURITIBA)',BNDES CREGE INVESTIMENTO - ATACADO (CSO CURITIBA),,,,
"(3313,'BNDES EXIM - ATACADO (CSO CURITIBA)'),",3313,'BNDES EXIM - ATACADO (CSO CURITIBA)',BNDES EXIM - ATACADO (CSO CURITIBA),,,,
"(3314,'FINAME CREGE - ATACADO (CSO CURITIBA)'),",3314,'FINAME CREGE - ATACADO (CSO CURITIBA)',FINAME CREGE - ATACADO (CSO CURITIBA),,,,
"(3315,'FINAME LEASING - ATACADO (CSO CURITIBA)'),",3315,'FINAME LEASING - ATACADO (CSO CURITIBA)',FINAME LEASING - ATACADO (CSO CURITIBA),,,,
"(3409,'FINAME PROUCA'),",3409,'FINAME PROUCA',FINAME PROUCA,,,,
"(3429,'FINAME EMPRESARIAL PSI'),",3429,'FINAME EMPRESARIAL PSI',FINAME EMPRESARIAL PSI,,,,
"(6571,'FINAME EMPRESARIAL PSI SIMPLIFICADA'),",6571,'FINAME EMPRESARIAL PSI SIMPLIFICADA',FINAME EMPRESARIAL PSI SIMPLIFICADA,,,,
"(6578,'FINAME RURAL PSI SIMPLIFICADA'),",6578,'FINAME RURAL PSI SIMPLIFICADA',FINAME RURAL PSI SIMPLIFICADA,,,,
"(6585,'FINAME RURAL PSI CONVENCIONAL'),",6585,'FINAME RURAL PSI CONVENCIONAL',FINAME RURAL PSI CONVENCIONAL,,,,
"(6592,'FINAME EMPRESARIAL PSI CONVENCIONAL'),",6592,'FINAME EMPRESARIAL PSI CONVENCIONAL',FINAME EMPRESARIAL PSI CONVENCIONAL,,,,
"(7301,'FINAME MODERINFRA'),",7301,'FINAME MODERINFRA',FINAME MODERINFRA,,,,
"(7992,'BNDES PMAT FINEM'),",7992,'BNDES PMAT FINEM',BNDES PMAT FINEM,,,,
"(7993,'BNDES PMAT AUTOM�TICO - INVESTIMENTO'),",7993,'BNDES PMAT AUTOM�TICO - INVESTIMENTO',BNDES PMAT AUTOM�TICO - INVESTIMENTO,,,,
"(7994,'BNDES PMAT AUTOM�TICO - M�QUINAS E EQUIPAMENTOS'),",7994,'BNDES PMAT AUTOM�TICO - M�QUINAS E EQUIPAMENTOS',BNDES PMAT AUTOM�TICO - M�QUINAS E EQUIPAMENTOS,,,,
"(7995,'BNDES AUTOM�TICO E DEMAIS PROGRAMAS'),",7995,'BNDES AUTOM�TICO E DEMAIS PROGRAMAS',BNDES AUTOM�TICO E DEMAIS PROGRAMAS,,,,
"(8329,'BNDES FINAME'),",8329,'BNDES FINAME',BNDES FINAME,,,,
"(8337,'FINAME 600 SIMPLIFICADA'),",8337,'FINAME 600 SIMPLIFICADA',FINAME 600 SIMPLIFICADA,,,,
"(8434,'BNDES ABC'),",8434,'BNDES ABC',BNDES ABC,,,,
"(8435,'BNDES AUTOM�TICO PER - GIRO'),",8435,'BNDES AUTOM�TICO PER - GIRO',BNDES AUTOM�TICO PER - GIRO,,,,
"(8436,'BNDES CAPITAL DE GIRO REVITALIZA'),",8436,'BNDES CAPITAL DE GIRO REVITALIZA',BNDES CAPITAL DE GIRO REVITALIZA,,,,
"(8437,'BNDES CONTRAPARTIDA - ESTADOS'),",8437,'BNDES CONTRAPARTIDA - ESTADOS',BNDES CONTRAPARTIDA - ESTADOS,,,,
"(8438,'BNDES CONTRAPARTIDA - MUNIC�PIOS'),",8438,'BNDES CONTRAPARTIDA - MUNIC�PIOS',BNDES CONTRAPARTIDA - MUNIC�PIOS,,,,
"(8439,'BNDES FINEM - ESTADOS'),",8439,'BNDES FINEM - ESTADOS',BNDES FINEM - ESTADOS,,,,
"(8440,'BNDES FINEM - MUNIC�PIOS'),",8440,'BNDES FINEM - MUNIC�PIOS',BNDES FINEM - MUNIC�PIOS,,,,
"(8441,'BNDES GOVERNOS'),",8441,'BNDES GOVERNOS',BNDES GOVERNOS,,,,
"(8442,'BNDES MODERAGRO FRUTA'),",8442,'BNDES MODERAGRO FRUTA',BNDES MODERAGRO FRUTA,,,,
"(8443,'BNDES PROCAP AGRO'),",8443,'BNDES PROCAP AGRO',BNDES PROCAP AGRO,,,,
"(8444,'BNDES PRONAMP INVESTIMENTO AGR�COLA'),",8444,'BNDES PRONAMP INVESTIMENTO AGR�COLA',BNDES PRONAMP INVESTIMENTO AGR�COLA,,,,
"(8445,'BNDES PRONAMP INVESTIMENTO PECU�RIO'),",8445,'BNDES PRONAMP INVESTIMENTO PECU�RIO',BNDES PRONAMP INVESTIMENTO PECU�RIO,,,,
"(8446,'BNDES PRORENOVA'),",8446,'BNDES PRORENOVA',BNDES PRORENOVA,,,,
"(8447,'BNDES REVITALIZA - INVESTIMENTO'),",8447,'BNDES REVITALIZA - INVESTIMENTO',BNDES REVITALIZA - INVESTIMENTO,,,,
"(8448,'BNDES RURAL PSI'),",8448,'BNDES RURAL PSI',BNDES RURAL PSI,,,,
"(8449,'REFINANCIAMENTO EMPRESARIAL BNDES'),",8449,'REFINANCIAMENTO EMPRESARIAL BNDES',REFINANCIAMENTO EMPRESARIAL BNDES,,,,
"(8456,'BNDES PCA'),",8456,'BNDES PCA',BNDES PCA,,,,
"(8457,'BNDES INOVAGRO'),",8457,'BNDES INOVAGRO',BNDES INOVAGRO,,,,
"(8946,'FINAME AGROPECU�RIO'),",8946,'FINAME AGROPECU�RIO',FINAME AGROPECU�RIO,,,,
"(9045,'FINAME PRONAMP AGR�COLA CONVENCIONAL'),",9045,'FINAME PRONAMP AGR�COLA CONVENCIONAL',FINAME PRONAMP AGR�COLA CONVENCIONAL,,,,
"(9054,'FINAME PRONAMP PECU�RIO CONVENCIONAL'),",9054,'FINAME PRONAMP PECU�RIO CONVENCIONAL',FINAME PRONAMP PECU�RIO CONVENCIONAL,,,,
"(9077,'BNDES CAPITAL DE GIRO PROGEREN'),",9077,'BNDES CAPITAL DE GIRO PROGEREN',BNDES CAPITAL DE GIRO PROGEREN,,,,
"(9099,'RENEGOCIA��O CART�O BNDES'),",9099,'RENEGOCIA��O CART�O BNDES',RENEGOCIA��O CART�O BNDES,,,,
"(9138,'FINAME PCA'),",9138,'FINAME PCA',FINAME PCA,,,,
"(9584,'REESCALONAMENTO CART�O BNDES'),",9584,'REESCALONAMENTO CART�O BNDES',REESCALONAMENTO CART�O BNDES,,,,
"(10130,'BNDES GIRO'),",10130,'BNDES GIRO',BNDES GIRO,,,,
"(1720,'FINAME/BNDES'),",1720,'FINAME/BNDES',FINAME/BNDES,,,,
"(1721,'CART�O BNDES (VISA DISTRIBUI��O)'),",1721,'CART�O BNDES (VISA DISTRIBUI��O)',CART�O BNDES (VISA DISTRIBUI��O),,,,
"(1908,'BNDES AUTOM�TICO AGROPECU�RIO'),",1908,'BNDES AUTOM�TICO AGROPECU�RIO',BNDES AUTOM�TICO AGROPECU�RIO,,,,
"(1909,'BNDES CAMINHOS DA ESCOLA'),",1909,'BNDES CAMINHOS DA ESCOLA',BNDES CAMINHOS DA ESCOLA,,,,
"(1910,'BNDES CAPITAL DE GIRO'),",1910,'BNDES CAPITAL DE GIRO',BNDES CAPITAL DE GIRO,,,,
"(1911,'BNDES CAPITAL DE GIRO PEC'),",1911,'BNDES CAPITAL DE GIRO PEC',BNDES CAPITAL DE GIRO PEC,,,,
"(1912,'BNDES CAPITAL DE GIRO PROGEREN'),",1912,'BNDES CAPITAL DE GIRO PROGEREN',BNDES CAPITAL DE GIRO PROGEREN,,,,
"(1913,'BNDES CAPITAL DE GIRO REVITALIZA'),",1913,'BNDES CAPITAL DE GIRO REVITALIZA',BNDES CAPITAL DE GIRO REVITALIZA,,,,
"(1914,'BNDES CREGE INVESTIMENTO'),",1914,'BNDES CREGE INVESTIMENTO',BNDES CREGE INVESTIMENTO,,,,
"(1915,'BNDES EXIM'),",1915,'BNDES EXIM',BNDES EXIM,,,,
"(1916,'BNDES MODERAGRO'),",1916,'BNDES MODERAGRO',BNDES MODERAGRO,,,,
"(1917,'BNDES MODERAGRO DESENVOLVIMENTO'),",1917,'BNDES MODERAGRO DESENVOLVIMENTO',BNDES MODERAGRO DESENVOLVIMENTO,,,,
"(1918,'BNDES MODERAGRO FRUTA'),",1918,'BNDES MODERAGRO FRUTA',BNDES MODERAGRO FRUTA,,,,
"(1919,'BNDES MODERINFRA'),",1919,'BNDES MODERINFRA',BNDES MODERINFRA,,,,
"(1920,'BNDES PMAT'),",1920,'BNDES PMAT',BNDES PMAT,,,,
"(1921,'BNDES PROCAP AGRO'),",1921,'BNDES PROCAP AGRO',BNDES PROCAP AGRO,,,,
"(1922,'BNDES PROCER'),",1922,'BNDES PROCER',BNDES PROCER,,,,
"(1923,'BNDES PRODEAGRO'),",1923,'BNDES PRODEAGRO',BNDES PRODEAGRO,,,,
"(1924,'BNDES PRODECOOP'),",1924,'BNDES PRODECOOP',BNDES PRODECOOP,,,,
"(1925,'BNDES PRODUSA'),",1925,'BNDES PRODUSA',BNDES PRODUSA,,,,
"(1926,'BNDES PROG.MANUT.RECUP. EQUIP. AGR�COLA'),",1926,'BNDES PROG.MANUT.RECUP. EQUIP. AGR�COLA',BNDES PROG.MANUT.RECUP. EQUIP. AGR�COLA,,,,
"(1927,'BNDES PROG.MANUT.RECUP.EQUIP.'),",1927,'BNDES PROG.MANUT.RECUP.EQUIP.',BNDES PROG.MANUT.RECUP.EQUIP.,,,,
"(1928,'BNDES PROG.MANUT.RECUP.EQUIP.AGR�COLA'),",1928,'BNDES PROG.MANUT.RECUP.EQUIP.AGR�COLA',BNDES PROG.MANUT.RECUP.EQUIP.AGR�COLA,,,,
"(1929,'BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS'),",1929,'BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS',BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS,,,,
"(1930,'BNDES PROMOB'),",1930,'BNDES PROMOB',BNDES PROMOB,,,,
"(1931,'BNDES PROPFLORA'),",1931,'BNDES PROPFLORA',BNDES PROPFLORA,,,,
"(1932,'BNDES REVITALIZA'),",1932,'BNDES REVITALIZA',BNDES REVITALIZA,,,,
"(1933,'BNDES REVITALIZA - INVESTIMENTO'),",1933,'BNDES REVITALIZA - INVESTIMENTO',BNDES REVITALIZA - INVESTIMENTO,,,,
"(1934,'BNDES RURAL'),",1934,'BNDES RURAL',BNDES RURAL,,,,
"(1935,'BNDES RURAL PSI'),",1935,'BNDES RURAL PSI',BNDES RURAL PSI,,,,
"(1936,'GIRO COM RECURSOS DO BNDES'),",1936,'GIRO COM RECURSOS DO BNDES',GIRO COM RECURSOS DO BNDES,,,,
"(1937,'REFINANCIAMENTO EMPRESARIAL BNDES'),",1937,'REFINANCIAMENTO EMPRESARIAL BNDES',REFINANCIAMENTO EMPRESARIAL BNDES,,,,
"(1938,'REFINANCIAMENTO RURAL BNDES'),",1938,'REFINANCIAMENTO RURAL BNDES',REFINANCIAMENTO RURAL BNDES,,,,
"(1939,'REFINANCIAMENTO RURAL BNDES/FINAME'),",1939,'REFINANCIAMENTO RURAL BNDES/FINAME',REFINANCIAMENTO RURAL BNDES/FINAME,,,,
"(2114,'BNDES AUTOMATICO PER  - GIRO'),",2114,'BNDES AUTOMATICO PER  - GIRO',BNDES AUTOMATICO PER  - GIRO,,,,
"(9100,'RENEGOCIA��O CART�O BNDES'),",9100,'RENEGOCIA��O CART�O BNDES',RENEGOCIA��O CART�O BNDES,,,,
"(9585,'REESCALONAMENTO CART�O BNDES'),",9585,'REESCALONAMENTO CART�O BNDES',REESCALONAMENTO CART�O BNDES,,,,
"(10121,'BNDES GIRO'),",10121,'BNDES GIRO',BNDES GIRO,,,,
"(1940,'BNDES AUTOM�TICO AGROPECU�RIO'),",1940,'BNDES AUTOM�TICO AGROPECU�RIO',BNDES AUTOM�TICO AGROPECU�RIO,,,,
"(1941,'BNDES CAMINHOS DA ESCOLA'),",1941,'BNDES CAMINHOS DA ESCOLA',BNDES CAMINHOS DA ESCOLA,,,,
"(1942,'BNDES CAPITAL DE GIRO'),",1942,'BNDES CAPITAL DE GIRO',BNDES CAPITAL DE GIRO,,,,
"(1943,'BNDES CAPITAL DE GIRO PEC'),",1943,'BNDES CAPITAL DE GIRO PEC',BNDES CAPITAL DE GIRO PEC,,,,
"(1944,'BNDES CAPITAL DE GIRO PROGEREN'),",1944,'BNDES CAPITAL DE GIRO PROGEREN',BNDES CAPITAL DE GIRO PROGEREN,,,,
"(1945,'BNDES CAPITAL DE GIRO REVITALIZA'),",1945,'BNDES CAPITAL DE GIRO REVITALIZA',BNDES CAPITAL DE GIRO REVITALIZA,,,,
"(1946,'BNDES CREGE INVESTIMENTO'),",1946,'BNDES CREGE INVESTIMENTO',BNDES CREGE INVESTIMENTO,,,,
"(1947,'BNDES EXIM'),",1947,'BNDES EXIM',BNDES EXIM,,,,
"(1948,'BNDES MODERAGRO'),",1948,'BNDES MODERAGRO',BNDES MODERAGRO,,,,
"(1949,'BNDES MODERAGRO DESENVOLVIMENTO'),",1949,'BNDES MODERAGRO DESENVOLVIMENTO',BNDES MODERAGRO DESENVOLVIMENTO,,,,
"(1950,'BNDES MODERAGRO FRUTA'),",1950,'BNDES MODERAGRO FRUTA',BNDES MODERAGRO FRUTA,,,,
"(1951,'BNDES MODERINFRA'),",1951,'BNDES MODERINFRA',BNDES MODERINFRA,,,,
"(1952,'BNDES PMAT'),",1952,'BNDES PMAT',BNDES PMAT,,,,
"(1953,'BNDES PROCAP AGRO'),",1953,'BNDES PROCAP AGRO',BNDES PROCAP AGRO,,,,
"(1954,'BNDES PROCER'),",1954,'BNDES PROCER',BNDES PROCER,,,,
"(1955,'BNDES PRODEAGRO'),",1955,'BNDES PRODEAGRO',BNDES PRODEAGRO,,,,
"(1956,'BNDES PRODECOOP'),",1956,'BNDES PRODECOOP',BNDES PRODECOOP,,,,
"(1957,'BNDES PRODUSA'),",1957,'BNDES PRODUSA',BNDES PRODUSA,,,,
"(1958,'BNDES PROG.MANUT.RECUP. EQUIP. AGR�COLA'),",1958,'BNDES PROG.MANUT.RECUP. EQUIP. AGR�COLA',BNDES PROG.MANUT.RECUP. EQUIP. AGR�COLA,,,,
"(1959,'BNDES PROG.MANUT.RECUP.EQUIP.'),",1959,'BNDES PROG.MANUT.RECUP.EQUIP.',BNDES PROG.MANUT.RECUP.EQUIP.,,,,
"(1960,'BNDES PROG.MANUT.RECUP.EQUIP.AGR�COLA'),",1960,'BNDES PROG.MANUT.RECUP.EQUIP.AGR�COLA',BNDES PROG.MANUT.RECUP.EQUIP.AGR�COLA,,,,
"(1961,'BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS'),",1961,'BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS',BNDES PROGRAMA ARMAZENAGEM CEREALISTAS NACIONAIS,,,,
"(1962,'BNDES PROMOB'),",1962,'BNDES PROMOB',BNDES PROMOB,,,,
"(1963,'BNDES PROPFLORA'),",1963,'BNDES PROPFLORA',BNDES PROPFLORA,,,,
"(1964,'BNDES REVITALIZA'),",1964,'BNDES REVITALIZA',BNDES REVITALIZA,,,,
"(1965,'BNDES REVITALIZA - INVESTIMENTO'),",1965,'BNDES REVITALIZA - INVESTIMENTO',BNDES REVITALIZA - INVESTIMENTO,,,,
"(1966,'BNDES RURAL'),",1966,'BNDES RURAL',BNDES RURAL,,,,
"(1967,'BNDES RURAL PSI'),",1967,'BNDES RURAL PSI',BNDES RURAL PSI,,,,
"(1968,'GIRO COM RECURSOS DO BNDES'),",1968,'GIRO COM RECURSOS DO BNDES',GIRO COM RECURSOS DO BNDES,,,,
"(1969,'REFINANCIAMENTO EMPRESARIAL BNDES'),",1969,'REFINANCIAMENTO EMPRESARIAL BNDES',REFINANCIAMENTO EMPRESARIAL BNDES,,,,
"(1970,'REFINANCIAMENTO RURAL BNDES'),",1970,'REFINANCIAMENTO RURAL BNDES',REFINANCIAMENTO RURAL BNDES,,,,
