CODIGO DO MUNICIPIO - TOM;CODIGO DO MUNICIPIO - IBGE;MUNICIPIO - TOM;municipio - IBGE;UF
1;1100106;GUAJARA-MIRIM;Guajara-Mirim;RO
2;1100379;ALTO ALEGRE DOS PARECIS;Alto Alegre Dos Parecis;RO
3;1100205;PORTO VELHO;Porto Velho;RO
4;1100452;BURITIS;Buritis;RO
5;1100122;JI-PARANA;Ji-Parana;RO
6;1100924;CHUPINGUAIA;Chupinguaia;RO
7;1100023;ARIQUEMES;Ariquemes;RO
8;1100940;CUJUBIM;Cujubim;RO
9;1100049;CACOAL;Cacoal;RO
10;1101435;NOVA UNIAO;Nova Uniao;RO
11;1100189;PIMENTA BUENO;Pimenta Bueno;RO
12;1101450;PARECIS;Parecis;RO
13;1100304;VILHENA;Vilhena;RO
14;1101468;PIMENTEIRAS DO OESTE;Pimenteiras Do Oeste;RO
15;1100114;JARU;Jaru;RO
16;1101476;PRIMAVERA DE RONDONIA;Primavera De Rondonia;RO
17;1100155;OURO PRETO DO OESTE;Ouro Preto Do Oeste;RO
18;1101484;SAO FELIPE D'OESTE;Sao Felipe D'Oeste;RO
19;1100254;PRESIDENTE MEDICI;Presidente Medici;RO
20;1101492;SAO FRANCISCO DO GUAPORE;Sao Francisco Do Guapore;RO
21;1100080;COSTA MARQUES;Costa Marques;RO
22;1101559;TEIXEIROPOLIS;Teixeiropolis;RO
23;1100064;COLORADO DO OESTE;Colorado Do Oeste;RO
24;1101757;VALE DO ANARI;Vale Do Anari;RO
25;1100098;ESPIGAO D'OESTE;Espigao D'Oeste;RO
26;1400027;AMAJARI;Amajari;RR
27;1100056;CEREJEIRAS;Cerejeiras;RO
28;1400175;CANTA;Canta;RR
29;1100288;ROLIM DE MOURA;Rolim De Moura;RO
30;1400233;CAROEBE;Caroebe;RR
31;5204557;CALDAZINHA;Caldazinha;GO
32;1400282;IRACEMA;Iracema;RR
33;1100015;ALTA FLORESTA D'OESTE;Alta Floresta D'Oeste;RO
34;1400456;PACARAIMA;Pacaraima;RR
35;1100346;ALVORADA D'OESTE;Alvorada D'Oeste;RO
36;1400472;RORAINOPOLIS;Rorainopolis;RR
37;1100031;CABIXI;Cabixi;RO
38;1400704;UIRAMUTA;Uiramuta;RR
39;1100130;MACHADINHO D'OESTE;Machadinho D'Oeste;RO
40;1500859;ANAPU;Anapu;PA
41;1100148;NOVA BRASILANDIA D'OESTE;Nova Brasilandia D'Oeste;RO
42;1501253;BANNACH;Bannach;PA
43;1100296;SANTA LUZIA D'OESTE;Santa Luzia D'Oeste;RO
44;1501451;BELTERRA;Belterra;PA
45;1100320;SAO MIGUEL DO GUAPORE;Sao Miguel Do Guapore;RO
46;1501956;CACHOEIRA DO PIRIA;Cachoeira Do Piria;PA
47;1100338;NOVA MAMORE;Nova Mamore;RO
48;1502152;CANAA DOS CARAJAS;Canaa Dos Carajas;PA
49;5212055;JESUPOLIS;Jesupolis;GO
50;1502855;CURUA;Curua;PA
51;5218391;PROFESSOR JAMIL;Professor Jamil;GO
52;1503044;FLORESTA DO ARAGUAIA;Floresta Do Araguaia;PA
53;5219738;SANTO ANTONIO DE GOIAS;Santo Antonio De Goias;GO
54;1504422;MARITUBA;Marituba;PA
55;5205513;COCALZINHO DE GOIAS;Cocalzinho De Goias;GO
56;1504976;NOVA IPIXUNA;Nova Ipixuna;PA
57;5221197;TEREZOPOLIS DE GOIAS;Terezopolis De Goias;GO
58;1505635;PICARRA;Picarra;PA
59;5221577;UIRAPURU;Uirapuru;GO
60;1505650;PLACAS;Placas;PA
61;5203962;BURITINOPOLIS;Buritinopolis;GO
62;1506112;QUATIPURU;Quatipuru;PA
63;5203939;BURITI DE GOIAS;Buriti De Goias;GO
64;1507466;SAO JOAO DA PONTA;Sao Joao Da Ponta;PA
65;5209291;GUARAITA;Guaraita;GO
66;1507755;SAPUCAIA;Sapucaia;PA
67;5222203;VILA BOA;Vila Boa;GO
68;1508035;TRACUATEUA;Tracuateua;PA
69;5209937;INACIOLANDIA;Inaciolandia;GO
70;1600808;VITORIA DO JARI;Vitoria Do Jari;AP
71;5201454;APARECIDA DO RIO DOCE;Aparecida Do Rio Doce;GO
72;1700301;AGUIARNOPOLIS;Aguiarnopolis;TO
73;5205471;CHAPADAO DO CEU;Chapadao Do Ceu;GO
74;1703057;BANDEIRANTES DO TOCANTINS;Bandeirantes Do Tocantins;TO
75;5216452;PEROLANDIA;Perolandia;GO
76;1703073;BARRA DO OURO;Barra Do Ouro;TO
77;5205497;CIDADE OCIDENTAL;Cidade Ocidental;GO
78;1704600;CHAPADA DE AREIA;Chapada De Areia;TO
79;5213772;MONTIVIDIU DO NORTE;Montividiu Do Norte;GO
80;1705102;CHAPADA DA NATIVIDADE;Chapada Da Natividade;TO
81;5205059;CASTELANDIA;Castelandia;GO
82;1706258;CRIXAS DO TOCANTINS;Crixas Do Tocantins;TO
83;5219712;SANTO ANTONIO DA BARRA;Santo Antonio Da Barra;GO
84;1709807;IPUEIRAS;Ipueiras;TO
85;5200555;ALTO HORIZONTE;Alto Horizonte;GO
86;1712157;LAVANDEIRA;Lavandeira;TO
87;5214879;NOVA IGUACU DE GOIAS;Nova Iguacu De Goias;GO
88;1712454;LUZINOPOLIS;Luzinopolis;TO
89;5103379;COTRIGUACU;Cotriguacu;MT
90;1713700;MONTE SANTO DO TOCANTINS;Monte Santo Do Tocantins;TO
91;5106455;PLANALTO DA SERRA;Planalto Da Serra;MT
92;1715507;OLIVEIRA DE FATIMA;Oliveira De Fatima;TO
93;5107404;SAO PEDRO DA CIPA;Sao Pedro Da Cipa;MT
94;1718451;PUGMIL;Pugmil;TO
95;5106653;PONTAL DO ARAGUAIA;Pontal Do Araguaia;MT
96;1718899;SANTA RITA DO TOCANTINS;Santa Rita Do Tocantins;TO
97;5107065;QUERENCIA;Querencia;MT
98;1720002;SANTA TEREZINHA DO TOCANTINS;Santa Terezinha Do Tocantins;TO
99;5107198;RIBEIRAOZINHO;Ribeiraozinho;MT
100;1720978;TALISMA;Talisma;TO
101;5106851;PORTO ESTRELA;Porto Estrela;MT
102;1721257;TUPIRAMA;Tupirama;TO
103;5108857;NOVA MARILANDIA;Nova Marilandia;MT
104;2100154;AGUA DOCE DO MARANHAO;Agua Doce Do Maranhao;MA
105;1200104;BRASILEIA;Brasileia;AC
106;2100436;ALTO ALEGRE DO MARANHAO;Alto Alegre Do Maranhao;MA
107;1200203;CRUZEIRO DO SUL;Cruzeiro Do Sul;AC
108;2100477;ALTO ALEGRE DO PINDARE;Alto Alegre Do Pindare;MA
109;1200336;MANCIO LIMA;Mancio Lima;AC
110;2100550;AMAPA DO MARANHAO;Amapa Do Maranhao;MA
111;5108907;NOVA MARINGA;Nova Maringa;MT
112;2100832;APICUM-ACU;Apicum-Acu;MA
113;1200302;FEIJO;Feijo;AC
114;2100873;ARAGUANA;Araguana;MA
115;5107263;SANTO AFONSO;Santo Afonso;MT
116;2101251;BACABEIRA;Bacabeira;MA
117;5106158;NOVA BANDEIRANTES;Nova Bandeirantes;MT
118;2101350;BACURITUBA;Bacurituba;MA
119;5108956;NOVA MONTE VERDE;Nova Monte Verde;MT
120;2101731;BELAGUA;Belagua;MA
121;5108808;NOVA GUARITA;Nova Guarita;MT
122;2101772;BELA VISTA DO MARANHAO;Bela Vista Do Maranhao;MA
123;5107248;SANTA CARMEM;Santa Carmem;MT
124;2101939;BERNARDO DO MEARIM;Bernardo Do Mearim;MA
125;5107941;TABAPORA;Tabapora;MT
126;2101970;BOA VISTA DO GURUPI;Boa Vista Do Gurupi;MA
127;5100359;ALTO BOA VISTA;Alto Boa Vista;MT
128;2102036;BOM JESUS DAS SELVAS;Bom Jesus Das Selvas;MA
129;5102694;CANABRAVA DO NORTE;Canabrava Do Norte;MT
130;2102077;BOM LUGAR;Bom Lugar;MA
131;5103353;CONFRESA;Confresa;MT
132;2102150;BREJO DE AREIA;Brejo De Areia;MA
133;5107354;SAO JOSE DO XINGU;Sao Jose Do Xingu;MT
134;2102325;BURITICUPU;Buriticupu;MA
135;5103957;GLORIA D'OESTE;Gloria D'Oeste;MT
136;2102358;BURITIRANA;Buritirana;MA
137;5105234;LAMBARI D'OESTE;Lambari D'Oeste;MT
138;2102374;CACHOEIRA GRANDE;Cachoeira Grande;MA
139;1200401;RIO BRANCO;Rio Branco;AC
140;2102556;CAMPESTRE DO MARANHAO;Campestre Do Maranhao;MA
141;5000252;ALCINOPOLIS;Alcinopolis;MS
142;2102754;CAPINZAL DO NORTE;Capinzal Do Norte;MA
143;5006002;NOVA ALVORADA DO SUL;Nova Alvorada Do Sul;MS
144;2103125;CENTRAL DO MARANHAO;Central Do Maranhao;MA
145;1200500;SENA MADUREIRA;Sena Madureira;AC
146;2103158;CENTRO DO GUILHERME;Centro Do Guilherme;MA
147;1200609;TARAUACA;Tarauaca;AC
148;2103174;CENTRO NOVO DO MARANHAO;Centro Novo Do Maranhao;MA
149;1200708;XAPURI;Xapuri;AC
150;2103257;CIDELANDIA;Cidelandia;MA
151;1200385;PLACIDO DE CASTRO;Placido De Castro;AC
152;2103554;CONCEICAO DO LAGO-ACU;Conceicao Do Lago-Acu;MA
153;1200450;SENADOR GUIOMARD;Senador Guiomard;AC
154;2103752;DAVINOPOLIS;Davinopolis;MA
155;1200344;MANOEL URBANO;Manoel Urbano;AC
156;2104073;FEIRA NOVA DO MARANHAO;Feira Nova Do Maranhao;MA
157;1200054;ASSIS BRASIL;Assis Brasil;AC
158;2104081;FERNANDO FALCAO;Fernando Falcao;MA
159;5006259;NOVO HORIZONTE DO SUL;Novo Horizonte Do Sul;MS
160;2104099;FORMOSA DA SERRA NEGRA;Formosa Da Serra Negra;MA
161;5004809;JAPORA;Japora;MS
162;2104552;GOVERNADOR EDISON LOBAO;Governador Edison Lobao;MA
163;5005251;LAGUNA CARAPA;Laguna Carapa;MS
164;2104628;GOVERNADOR LUIZ ROCHA;Governador Luiz Rocha;MA
165;1701051;ANGICO;Angico;TO
166;2104651;GOVERNADOR NEWTON BELLO;Governador Newton Bello;MA
167;1701309;ARAGOMINAS;Aragominas;TO
168;2104677;GOVERNADOR NUNES FREIRE;Governador Nunes Freire;MA
169;1702158;ARAGUANA;Araguana;TO
170;2105153;IGARAPE DO MEIO;Igarape Do Meio;MA
171;1703826;CACHOEIRINHA;Cachoeirinha;TO
172;2105351;ITAIPAVA DO GRAJAU;Itaipava Do Grajau;MA
173;1703842;CAMPOS LINDOS;Campos Lindos;TO
174;2105427;ITINGA DO MARANHAO;Itinga Do Maranhao;MA
175;1703883;CARMOLANDIA;Carmolandia;TO
176;2105450;JATOBA;Jatoba;MA
177;1703891;CARRASCO BONITO;Carrasco Bonito;TO
178;2105476;JENIPAPO DOS VIEIRAS;Jenipapo Dos Vieiras;MA
179;1706506;DARCINOPOLIS;Darcinopolis;TO
180;2105658;JUNCO DO MARANHAO;Junco Do Maranhao;MA
181;1707405;ESPERANTINA;Esperantina;TO
182;2105922;LAGOA DO MATO;Lagoa Do Mato;MA
183;1712801;MAURILANDIA DO TOCANTINS;Maurilandia Do Tocantins;TO
184;2105948;LAGO DOS RODRIGUES;Lago Dos Rodrigues;MA
185;1713809;PALMEIRAS DO TOCANTINS;Palmeiras Do Tocantins;TO
186;2105963;LAGOA GRANDE DO MARANHAO;Lagoa Grande Do Maranhao;MA
187;1713957;MURICILANDIA;Muricilandia;TO
188;2105989;LAJEADO NOVO;Lajeado Novo;MA
189;1715705;PALMEIRANTE;Palmeirante;TO
190;2106326;MARACACUME;Maracacume;MA
191;1716307;PAU D'ARCO;Pau D'Arco;TO
192;2106359;MARAJA DO SENA;Maraja Do Sena;MA
193;1718550;RIACHINHO;Riachinho;TO
194;2106375;MARANHAOZINHO;Maranhaozinho;MA
195;1718865;SANTA FE DO ARAGUAIA;Santa Fe Do Araguaia;TO
196;2106631;MATOES DO NORTE;Matoes Do Norte;MA
197;1720101;SAO BENTO DO TOCANTINS;Sao Bento Do Tocantins;TO
198;2106672;MILAGRES DO MARANHAO;Milagres Do Maranhao;MA
199;1720200;SAO MIGUEL DO TOCANTINS;Sao Miguel Do Tocantins;TO
200;2107258;NOVA COLINAS;Nova Colinas;MA
201;1303205;NOVO AIRAO;Novo Airao;AM
202;2107357;NOVA OLINDA DO MARANHAO;Nova Olinda Do Maranhao;MA
203;1300102;ANORI;Anori;AM
204;2107456;OLINDA NOVA DO MARANHAO;Olinda Nova Do Maranhao;MA
205;1300201;ATALAIA DO NORTE;Atalaia Do Norte;AM
206;2108058;PAULINO NEVES;Paulino Neves;MA
207;1300300;AUTAZES;Autazes;AM
208;2108256;PEDRO DO ROSARIO;Pedro Do Rosario;MA
209;1300409;BARCELOS;Barcelos;AM
210;2108454;PERITORO;Peritoro;MA
211;1300508;BARREIRINHA;Barreirinha;AM
212;2109056;PORTO RICO DO MARANHAO;Porto Rico Do Maranhao;MA
213;1300607;BENJAMIN CONSTANT;Benjamin Constant;AM
214;2109239;PRESIDENTE MEDICI;Presidente Medici;MA
215;1300706;BOCA DO ACRE;Boca Do Acre;AM
216;2109270;PRESIDENTE SARNEY;Presidente Sarney;MA
217;1300805;BORBA;Borba;AM
218;2109452;RAPOSA;Raposa;MA
219;1300904;CANUTAMA;Canutama;AM
220;2109551;RIBAMAR FIQUENE;Ribamar Fiquene;MA
221;1301001;CARAUARI;Carauari;AM
222;2109759;SANTA FILOMENA DO MARANHAO;Santa Filomena Do Maranhao;MA
223;1301100;CAREIRO;Careiro;AM
224;2110237;SANTANA DO MARANHAO;Santana Do Maranhao;MA
225;1301209;COARI;Coari;AM
226;2110278;SANTO AMARO DO MARANHAO;Santo Amaro Do Maranhao;MA
227;1301308;CODAJAS;Codajas;AM
228;2110658;SAO DOMINGOS DO AZEITAO;Sao Domingos Do Azeitao;MA
229;1301407;EIRUNEPE;Eirunepe;AM
230;2110856;SAO FRANCISCO DO BREJAO;Sao Francisco Do Brejao;MA
231;1301506;ENVIRA;Envira;AM
232;2111029;SAO JOAO DO CARU;Sao Joao Do Caru;MA
233;1301605;FONTE BOA;Fonte Boa;AM
234;2111052;SAO JOAO DO PARAISO;Sao Joao Do Paraiso;MA
235;1301704;HUMAITA;Humaita;AM
236;2111078;SAO JOAO DO SOTER;Sao Joao Do Soter;MA
237;1303601;SANTA ISABEL DO RIO NEGRO;Santa Isabel Do Rio Negro;AM
238;2111250;SAO JOSE DOS BASILIOS;Sao Jose Dos Basilios;MA
239;1301803;IPIXUNA;Ipixuna;AM
240;2111532;SAO PEDRO DA AGUA BRANCA;Sao Pedro Da Agua Branca;MA
241;1301902;ITACOATIARA;Itacoatiara;AM
242;2111573;SAO PEDRO DOS CRENTES;Sao Pedro Dos Crentes;MA
243;1302009;ITAPIRANGA;Itapiranga;AM
244;2111631;SAO RAIMUNDO DO DOCA BEZERRA;Sao Raimundo Do Doca Bezerra;MA
245;1302108;JAPURA;Japura;AM
246;2111672;SAO ROBERTO;Sao Roberto;MA
247;1302207;JURUA;Jurua;AM
248;2111722;SATUBINHA;Satubinha;MA
249;1302306;JUTAI;Jutai;AM
250;2111748;SENADOR ALEXANDRE COSTA;Senador Alexandre Costa;MA
251;1302405;LABREA;Labrea;AM
252;2111763;SENADOR LA ROCQUE;Senador La Rocque;MA
253;1302504;MANACAPURU;Manacapuru;AM
254;2111789;SERRANO DO MARANHAO;Serrano Do Maranhao;MA
255;1302603;MANAUS;Manaus;AM
256;2111953;SUCUPIRA DO RIACHAO;Sucupira Do Riachao;MA
257;1302702;MANICORE;Manicore;AM
258;2112233;TRIZIDELA DO VALE;Trizidela Do Vale;MA
259;1302801;MARAA;Maraa;AM
260;2112274;TUFILANDIA;Tufilandia;MA
261;1302900;MAUES;Maues;AM
262;2112456;TURILANDIA;Turilandia;MA
263;1303007;NHAMUNDA;Nhamunda;AM
264;2112852;VILA NOVA DOS MARTIRIOS;Vila Nova Dos Martirios;MA
265;1303106;NOVA OLINDA DO NORTE;Nova Olinda Do Norte;AM
266;2200053;ACAUA;Acaua;PI
267;1303304;NOVO ARIPUANA;Novo Aripuana;AM
268;2200459;ALVORADA DO GURGUEIA;Alvorada Do Gurgueia;PI
269;1303403;PARINTINS;Parintins;AM
270;2201051;ASSUNCAO DO PIAUI;Assuncao Do Piaui;PI
271;1303502;PAUINI;Pauini;AM
272;2201176;BARRA D'ALCANTARA;Barra D'Alcantara;PI
273;1303700;SANTO ANTONIO DO ICA;Santo Antonio Do Ica;AM
274;2201556;BELA VISTA DO PIAUI;Bela Vista Do Piaui;PI
275;1303908;SAO PAULO DE OLIVENCA;Sao Paulo De Olivenca;AM
276;2201572;BELEM DO PIAUI;Belem Do Piaui;PI
277;1304005;SILVES;Silves;AM
278;2201739;BETANIA DO PIAUI;Betania Do Piaui;PI
279;1304104;TAPAUA;Tapaua;AM
280;2201770;BOA HORA;Boa Hora;PI
281;1304203;TEFE;Tefe;AM
282;2201945;BOQUEIRAO DO PIAUI;Boqueirao Do Piaui;PI
283;1303809;SAO GABRIEL DA CACHOEIRA;Sao Gabriel Da Cachoeira;AM
284;2201988;BREJO DO PIAUI;Brejo Do Piaui;PI
285;1304302;URUCARA;Urucara;AM
286;2202075;CAJAZEIRAS DO PIAUI;Cajazeiras Do Piaui;PI
287;1304401;URUCURITUBA;Urucurituba;AM
288;2202083;CAJUEIRO DA PRAIA;Cajueiro Da Praia;PI
289;1300029;ALVARAES;Alvaraes;AM
290;2202117;CAMPO ALEGRE DO FIDALGO;Campo Alegre Do Fidalgo;PI
291;1300060;AMATURA;Amatura;AM
292;2202133;CAMPO GRANDE DO PIAUI;Campo Grande Do Piaui;PI
293;1300086;ANAMA;Anama;AM
294;2202174;CAMPO LARGO DO PIAUI;Campo Largo Do Piaui;PI
295;1300631;BERURI;Beruri;AM
296;2202455;CAPITAO GERVASIO OLIVEIRA;Capitao Gervasio Oliveira;PI
297;1300680;BOA VISTA DO RAMOS;Boa Vista Do Ramos;AM
298;2202539;CARAUBAS DO PIAUI;Caraubas Do Piaui;PI
299;1300839;CAAPIRANGA;Caapiranga;AM
300;2202554;CARIDADE DO PIAUI;Caridade Do Piaui;PI
301;1400100;BOA VISTA;Boa Vista;RR
302;2202653;CAXINGO;Caxingo;PI
303;1400209;CARACARAI;Caracarai;RR
304;2202711;COCAL DE TELHA;Cocal De Telha;PI
305;1400050;ALTO ALEGRE;Alto Alegre;RR
306;2202729;COCAL DOS ALVES;Cocal Dos Alves;PI
307;1400159;BONFIM;Bonfim;RR
308;2203230;CURRAIS;Currais;PI
309;1400308;MUCAJAI;Mucajai;RR
310;2203255;CURRALINHOS;Curralinhos;PI
311;1400407;NORMANDIA;Normandia;RR
312;2203271;CURRAL NOVO DO PIAUI;Curral Novo Do Piaui;PI
313;1400506;SAO JOAO DA BALIZA;Sao Joao Da Baliza;RR
314;2203859;FLORESTA DO PIAUI;Floresta Do Piaui;PI
315;1400605;SAO LUIZ;Sao Luiz;RR
316;2204154;FRANCISCO MACEDO;Francisco Macedo;PI
317;1712702;MATEIROS;Mateiros;TO
318;2204352;GEMINIANO;Geminiano;PI
319;2204550;GUARIBAS;Guaribas;PI
320;1715259;NOVO JARDIM;Novo Jardim;TO
321;2204659;ILHA GRANDE;Ilha Grande;PI
322;1718659;RIO DA CONCEICAO;Rio Da Conceicao;TO
323;2205276;JATOBA DO PIAUI;Jatoba Do Piaui;PI
324;1720937;TAIPAS DO TOCANTINS;Taipas Do Tocantins;TO
325;2205359;JOAO COSTA;Joao Costa;PI
326;1703867;CARIRI DO TOCANTINS;Cariri Do Tocantins;TO
327;2205458;JOCA MARQUES;Joca Marques;PI
328;1711506;JAU DO TOCANTINS;Jau Do Tocantins;TO
329;2205516;JUAZEIRO DO PIAUI;Juazeiro Do Piaui;PI
330;1718840;SANDOLANDIA;Sandolandia;TO
331;2205524;JULIO BORGES;Julio Borges;PI
332;1720259;SAO SALVADOR DO TOCANTINS;Sao Salvador Do Tocantins;TO
333;2205532;JUREMA;Jurema;PI
334;1720853;SUCUPIRA;Sucupira;TO
335;2205540;LAGOINHA DO PIAUI;Lagoinha Do Piaui;PI
336;1700251;ABREULANDIA;Abreulandia;TO
337;2205573;LAGOA DE SAO FRANCISCO;Lagoa De Sao Francisco;PI
338;1703602;BRASILANDIA DO TOCANTINS;Brasilandia Do Tocantins;TO
339;2205581;LAGOA DO PIAUI;Lagoa Do Piaui;PI
340;1703305;BOM JESUS DO TOCANTINS;Bom Jesus Do Tocantins;TO
341;2205599;LAGOA DO SITIO;Lagoa Do Sitio;PI
342;1704105;CENTENARIO;Centenario;TO
343;2205854;MADEIRO;Madeiro;PI
344;1708254;FORTALEZA DO TABOCAO;Fortaleza Do Tabocao;TO
345;2206050;MASSAPE DO PIAUI;Massape Do Piaui;PI
346;1710904;ITAPIRATINS;Itapiratins;TO
347;2206357;MILTON BRANDAO;Milton Brandao;PI
348;1711803;JUARINA;Juarina;TO
349;2206654;MORRO CABECA NO TEMPO;Morro Cabeca No Tempo;PI
350;1712009;LAJEADO;Lajeado;TO
351;2206670;MORRO DO CHAPEU DO PIAUI;Morro Do Chapeu Do Piaui;PI
352;1711951;LAGOA DO TOCANTINS;Lagoa Do Tocantins;TO
353;2206696;MURICI DOS PORTELAS;Murici Dos Portelas;PI
354;1717206;PIRAQUE;Piraque;TO
355;2206753;NOSSA SENHORA DE NAZARE;Nossa Senhora De Nazare;PI
356;1718501;RECURSOLANDIA;Recursolandia;TO
357;2206951;NOVO SANTO ANTONIO;Novo Santo Antonio;PI
358;1718709;RIO DOS BOIS;Rio Dos Bois;TO
359;2207108;OLHO D'AGUA DO PIAUI;Olho D'Agua Do Piaui;PI
360;1718881;SANTA MARIA DO TOCANTINS;Santa Maria Do Tocantins;TO
361;2207355;PAJEU DO PIAUI;Pajeu Do Piaui;PI
362;1720150;SAO FELIX DO TOCANTINS;Sao Felix Do Tocantins;TO
363;2207553;PAQUETA;Paqueta;PI
364;1721307;TUPIRATINS;Tupiratins;TO
365;2207850;PAVUSSU;Pavussu;PI
366;1711902;LAGOA DA CONFUSAO;Lagoa Da Confusao;TO
367;2207934;PEDRO LAURENTINO;Pedro Laurentino;PI
368;1506351;SANTA BARBARA DO PARA;Santa Barbara Do Para;PA
369;2207959;NOVA SANTA RITA;Nova Santa Rita;PI
370;1506559;SANTA LUZIA DO PARA;Santa Luzia Do Para;PA
371;2208551;PORTO ALEGRE DO PIAUI;Porto Alegre Do Piaui;PI
372;1507961;TERRA ALTA;Terra Alta;PA
373;2208858;RIACHO FRIO;Riacho Frio;PI
374;1500131;ABEL FIGUEIREDO;Abel Figueiredo;PA
375;2208874;RIBEIRA DO PIAUI;Ribeira Do Piaui;PI
376;1502954;ELDORADO DOS CARAJAS;Eldorado Dos Carajas;PA
377;2209450;SANTO ANTONIO DOS MILAGRES;Santo Antonio Dos Milagres;PI
378;1505494;PALESTINA DO PARA;Palestina Do Para;PA
379;2209658;SAO FRANCISCO DE ASSIS DO PIAUI;Sao Francisco De Assis Do Piaui;PI
380;1507151;SAO DOMINGOS DO ARAGUAIA;Sao Domingos Do Araguaia;PA
381;2209757;SAO GONCALO DO GURGUEIA;Sao Goncalo Do Gurgueia;PI
382;1500347;AGUA AZUL DO NORTE;Agua Azul Do Norte;PA
383;2209872;SAO JOAO DA FRONTEIRA;Sao Joao Da Fronteira;PI
384;1502764;CUMARU DO NORTE;Cumaru Do Norte;PA
385;2209955;SAO JOAO DA VARJOTA;Sao Joao Da Varjota;PI
386;1505551;PAU D'ARCO;Pau D'Arco;PA
387;2209971;SAO JOAO DO ARRAIAL;Sao Joao Do Arraial;PI
388;1500958;AURORA DO PARA;Aurora Do Para;PA
389;2210375;SAO LUIS DO PIAUI;Sao Luis Do Piaui;PI
390;1504950;NOVA ESPERANCA DO PIRIA;Nova Esperanca Do Piria;PA
391;2210383;SAO MIGUEL DA BAIXA GRANDE;Sao Miguel Da Baixa Grande;PI
392;1507474;SAO JOAO DE PIRABAS;Sao Joao De Pirabas;PA
393;2210391;SAO MIGUEL DO FIDALGO;Sao Miguel Do Fidalgo;PI
394;1507953;TAILANDIA;Tailandia;PA
395;2210623;SEBASTIAO BARROS;Sebastiao Barros;PI
396;1508084;TUCUMA;Tucuma;PA
397;2210631;SEBASTIAO LEAL;Sebastiao Leal;PI
398;1508159;URUARA;Uruara;PA
399;2210938;SUSSUAPARA;Sussuapara;PI
400;1500107;ABAETETUBA;Abaetetuba;PA
401;2210953;TAMBORIL DO PIAUI;Tamboril Do Piaui;PI
402;1500206;ACARA;Acara;PA
403;2210979;TANQUE DO PIAUI;Tanque Do Piaui;PI
404;1500305;AFUA;Afua;PA
405;2211506;VERA MENDES;Vera Mendes;PI
406;1500404;ALENQUER;Alenquer;PA
407;2211605;VILA NOVA DO PIAUI;Vila Nova Do Piaui;PI
408;1500503;ALMEIRIM;Almeirim;PA
409;2211704;WALL FERRAZ;Wall Ferraz;PI
410;1500602;ALTAMIRA;Altamira;PA
411;2401651;BODO;Bodo;RN
412;1500701;ANAJAS;Anajas;PA
413;2401859;CAICARA DO NORTE;Caicara Do Norte;RN
414;1500800;ANANINDEUA;Ananindeua;PA
415;2403756;FERNANDO PEDROZA;Fernando Pedroza;RN
416;1500909;AUGUSTO CORREA;Augusto Correa;PA
417;2404853;ITAJA;Itaja;RN
418;1501006;AVEIRO;Aveiro;PA
419;2407252;MAJOR SALES;Major Sales;RN
420;1501105;BAGRE;Bagre;PA
421;2408953;RIO DO FOGO;Rio Do Fogo;RN
422;1501204;BAIAO;Baiao;PA
423;2409332;SANTA MARIA;Santa Maria;RN
424;1501303;BARCARENA;Barcarena;PA
425;2410256;PORTO DO MANGUE;Porto Do Mangue;RN
426;1501402;BELEM;Belem;PA
427;2411056;TIBAU;Tibau;RN
428;1501501;BENEVIDES;Benevides;PA
429;2412559;SAO MIGUEL DO GOSTOSO;Sao Miguel Do Gostoso;RN
430;1501600;BONITO;Bonito;PA
431;2413557;SERRINHA DOS PINTOS;Serrinha Dos Pintos;RN
432;1501709;BRAGANCA;Braganca;PA
433;2414159;TENENTE LAURENTINO CRUZ;Tenente Laurentino Cruz;RN
434;1501808;BREVES;Breves;PA
435;2414456;TRIUNFO POTIGUAR;Triunfo Potiguar;RN
436;1501907;BUJARU;Bujaru;PA
437;2414753;VENHA-VER;Venha-Ver;RN
438;1502004;CACHOEIRA DO ARARI;Cachoeira Do Arari;PA
439;2500536;ALCANTIL;Alcantil;PB
440;1502103;CAMETA;Cameta;PA
441;2500577;ALGODAO DE JANDAIRA;Algodao De Jandaira;PB
442;1502202;CAPANEMA;Capanema;PA
443;2500734;AMPARO;Amparo;PB
444;1502301;CAPITAO POCO;Capitao Poco;PA
445;2500775;APARECIDA;Aparecida;PB
446;1502400;CASTANHAL;Castanhal;PA
447;2501153;AREIA DE BARAUNAS;Areia De Baraunas;PB
448;1502509;CHAVES;Chaves;PA
449;2501351;ASSUNCAO;Assuncao;PB
450;1502608;COLARES;Colares;PA
451;2501534;BARAUNA;Barauna;PB
452;1502707;CONCEICAO DO ARAGUAIA;Conceicao Do Araguaia;PA
453;2501575;BARRA DE SANTANA;Barra De Santana;PB
454;1502806;CURRALINHO;Curralinho;PA
455;2502052;BERNARDINO BATISTA;Bernardino Batista;PB
456;1502905;CURUCA;Curuca;PA
457;2502151;BOA VISTA;Boa Vista;PB
458;1503002;FARO;Faro;PA
459;2503555;CACIMBAS;Cacimbas;PB
460;1503101;GURUPA;Gurupa;PA
461;2503753;CAJAZEIRINHAS;Cajazeirinhas;PB
462;1503200;IGARAPE-ACU;Igarape-Acu;PA
463;2504033;CAPIM;Capim;PB
464;1503309;IGARAPE-MIRI;Igarape-Miri;PA
465;2504074;CARAUBAS;Caraubas;PB
466;1503408;INHANGAPI;Inhangapi;PA
